rank,title,uploader,duration,url,mode,thumbnail_url
1,WALKING TOUR GOING TO SKYVILLE AT DAWSON FROM QUEENSTOWN MRT // SINGAPORE // ZSM PILAR VLOG,ZSM Pilar Vlog,13:42,https://www.youtube.com/watch?v=7YJRYC8Me90,primary,https://i.ytimg.com/vi/7YJRYC8Me90/maxresdefault.jpg
2,Commonwealth Ave - Outside EW19 Queenstown MRT Station | Singapore Walking Tour,Yes Site by ahhookpin,31,https://www.youtube.com/watch?v=VjZ04MTf11k,primary,https://i.ytimg.com/vi/VjZ04MTf11k/maxresdefault.jpg
3,"Singapore walk from Orchard area to Chatsworth road, Queenstown MRT station (1 of 3) walking tour",City Cam,25:32,https://www.youtube.com/watch?v=C8-KabFCFb0,primary,https://i.ytimg.com/vi/C8-KabFCFb0/maxresdefault.jpg
4,"SIngapore walk from Orchard area to Chatsworth road, Queenstown MRT station (2 of 3) walking tour",City Cam,25:33,https://www.youtube.com/watch?v=1r-1Hq3uRA0,primary,https://i.ytimg.com/vi/1r-1Hq3uRA0/maxresdefault.jpg
5,"SIngapore walk from Orchard area to Chatsworth road, Queenstown MRT station (3 of 3) walking tour",City Cam,8:08,https://www.youtube.com/watch?v=DSJO5gYmF9o,primary,https://i.ytimg.com/vi/DSJO5gYmF9o/maxresdefault.jpg
6,Queenstown Singapore Walking Tour【2019】/女皇镇新加坡徒步旅行【2019】,Discovery Walking Tours TV,38:35,https://www.youtube.com/watch?v=HiI_yaXZocQ,primary,https://i.ytimg.com/vi/HiI_yaXZocQ/maxresdefault.jpg
7,Queenstown Tour & The First HDB Block in Singapore~ Singapore Walking Tours [4K],Travel Tuber,18:12,https://www.youtube.com/watch?v=9dH8-5ZW4Bk,primary,https://i.ytimg.com/vi/9dH8-5ZW4Bk/maxresdefault.jpg
8,"4K RAIN WALKING TOUR : Very OLD Low Rise HDB Blocks in Tanglin Halt, Commonwealth, Singapore",Ambient Walking,14:49,https://www.youtube.com/watch?v=TgfrIkl3nqs,primary,https://i.ytimg.com/vi/TgfrIkl3nqs/maxresdefault.jpg
9,How to walk from Queenstown MRT station to BLK40A Margaret Drive lobby in 6 minutes.,Ko Aung Lin U,6:52,https://www.youtube.com/watch?v=MhwMG-hbbn4,primary,https://i.ytimg.com/vi/MhwMG-hbbn4/maxresdefault.jpg
10,Singapore city.walk from Dowson to Queenstown MRT,Dg&UTAMI SWEET,12:22,https://www.youtube.com/watch?v=IeY6FkI3QTI,primary,https://i.ytimg.com/vi/IeY6FkI3QTI/maxresdefault.jpg
