rank	mode	id	title	uploader	duration	url	scan_score	relevance	thumbnail_ok	thumbnail_url	source
1	primary	7YJRYC8Me90	WALKING TOUR GOING TO SKYVILLE AT DAWSON FROM QUEENSTOWN MRT // SINGAPORE // ZSM PILAR VLOG	ZSM Pilar Vlog	13:42	https://www.youtube.com/watch?v=7YJRYC8Me90	8	30	True	https://i.ytimg.com/vi/7YJRYC8Me90/maxresdefault.jpg	shortlist
2	primary	VjZ04MTf11k	Commonwealth Ave - Outside EW19 Queenstown MRT Station | Singapore Walking Tour	Yes Site by ahhookpin	31	https://www.youtube.com/watch?v=VjZ04MTf11k	4	21	True	https://i.ytimg.com/vi/VjZ04MTf11k/maxresdefault.jpg	shortlist
3	primary	C8-KabFCFb0	Singapore walk from Orchard area to Chatsworth road, Queenstown MRT station (1 of 3) walking tour	City Cam	25:32	https://www.youtube.com/watch?v=C8-KabFCFb0	4	20	True	https://i.ytimg.com/vi/C8-KabFCFb0/maxresdefault.jpg	shortlist
4	primary	1r-1Hq3uRA0	SIngapore walk from Orchard area to Chatsworth road, Queenstown MRT station (2 of 3) walking tour	City Cam	25:33	https://www.youtube.com/watch?v=1r-1Hq3uRA0	4	20	True	https://i.ytimg.com/vi/1r-1Hq3uRA0/maxresdefault.jpg	shortlist
5	primary	DSJO5gYmF9o	SIngapore walk from Orchard area to Chatsworth road, Queenstown MRT station (3 of 3) walking tour	City Cam	8:08	https://www.youtube.com/watch?v=DSJO5gYmF9o	4	20	True	https://i.ytimg.com/vi/DSJO5gYmF9o/maxresdefault.jpg	shortlist
6	primary	HiI_yaXZocQ	Queenstown Singapore Walking Tour【2019】/女皇镇新加坡徒步旅行【2019】	Discovery Walking Tours TV	38:35	https://www.youtube.com/watch?v=HiI_yaXZocQ	4	19	True	https://i.ytimg.com/vi/HiI_yaXZocQ/maxresdefault.jpg	shortlist
7	primary	9dH8-5ZW4Bk	Queenstown Tour & The First HDB Block in Singapore~ Singapore Walking Tours [4K]	Travel Tuber	18:12	https://www.youtube.com/watch?v=9dH8-5ZW4Bk	4	19	True	https://i.ytimg.com/vi/9dH8-5ZW4Bk/maxresdefault.jpg	shortlist
8	primary	TgfrIkl3nqs	4K RAIN WALKING TOUR : Very OLD Low Rise HDB Blocks in Tanglin Halt, Commonwealth, Singapore	Ambient Walking	14:49	https://www.youtube.com/watch?v=TgfrIkl3nqs	2	17	True	https://i.ytimg.com/vi/TgfrIkl3nqs/maxresdefault.jpg	shortlist
9	primary	MhwMG-hbbn4	How to walk from Queenstown MRT station to BLK40A Margaret Drive lobby in 6 minutes.	Ko Aung Lin U	6:52	https://www.youtube.com/watch?v=MhwMG-hbbn4	4	15	True	https://i.ytimg.com/vi/MhwMG-hbbn4/maxresdefault.jpg	shortlist
10	primary	IeY6FkI3QTI	Singapore city.walk from Dowson to Queenstown MRT	Dg&UTAMI SWEET	12:22	https://www.youtube.com/watch?v=IeY6FkI3QTI	4	15	True	https://i.ytimg.com/vi/IeY6FkI3QTI/maxresdefault.jpg	shortlist
11	primary	VtFgXjmCpTM	SINGAPORE HAWKER FOOD CENTRE:MARGARET HAWKER FOOD CENTRE 5 MINUTES WALK FROM QUEENSTOWN MRT STATION	FOOD & WALK TV🍔👣	15:16	https://www.youtube.com/watch?v=VtFgXjmCpTM	4	15	True	https://i.ytimg.com/vi/VtFgXjmCpTM/maxresdefault.jpg	shortlist
12	primary	sID0yPNs2CY	[4K] 🇸🇬 Singapore Walking Tour at Tanglin Halt... walking down memory lane  | Singapore 2021	Walk-Along Singapore	34:15	https://www.youtube.com/watch?v=sID0yPNs2CY	2	15	True	https://i.ytimg.com/vi/sID0yPNs2CY/maxresdefault.jpg	shortlist
13	primary	wEYE8sKOpz8	EN Bloc Tanglin Halt last tour before it is gone forever 4K UHD #walkingtour #singapore #oldtown	A Simple Video	36:11	https://www.youtube.com/watch?v=wEYE8sKOpz8	2	15	True	https://i.ytimg.com/vi/wEYE8sKOpz8/maxresdefault.jpg	shortlist
14	primary	C32Dawkkf-8	4K Heavy Rain Walking Around Tanglin Halt (HDB SERS En-Bloc) Commonwealth MRT Station Singapore!	Ambient Walking	25:21	https://www.youtube.com/watch?v=C32Dawkkf-8	2	14	True	https://i.ytimg.com/vi/C32Dawkkf-8/maxresdefault.jpg	shortlist
15	primary	W6iu2F8b9s4	4K Rain Walk Along Tanglin Halt : Commonwealth Drive : HDB Estate : Nostalgic Singapore	Ambient Walking	34:27	https://www.youtube.com/watch?v=W6iu2F8b9s4	2	11	True	https://i.ytimg.com/vi/W6iu2F8b9s4/maxresdefault.jpg	shortlist
16	primary	xi93cPgRAjo	[ 4K ] Singapore Neighborhood Walk | Commonwealth | Tanglin Halt | December 2021	The Roaming Walker	50:13	https://www.youtube.com/watch?v=xi93cPgRAjo	2	11	True	https://i.ytimg.com/vi/xi93cPgRAjo/maxresdefault.jpg	shortlist
17	primary	GMmo3V97J1k	4K Rain Walk Along Rail Corridor : Queen's Arc HDB BTO (Queen's Crescent) to Tanglin Halt	Ambient Walking	20:06	https://www.youtube.com/watch?v=GMmo3V97J1k	2	10	True	https://i.ytimg.com/vi/GMmo3V97J1k/maxresdefault.jpg	shortlist
18	primary	HPThi_FeIFY	4K Intense Rain Walk in Monsoon Season : Tanglin Halt HDB SERS En Bloc : Demolished soon!	Ambient Walking	13:20	https://www.youtube.com/watch?v=HPThi_FeIFY	2	9	True	https://i.ytimg.com/vi/HPThi_FeIFY/maxresdefault.jpg	shortlist
19	primary	_iqt16E3_Qk	[Virtual walk] Rail corridor at Tanglin Halt, Singapore	Walk with me	8:51	https://www.youtube.com/watch?v=_iqt16E3_Qk	2	9	True	https://i.ytimg.com/vi/_iqt16E3_Qk/maxresdefault.jpg	shortlist
20	primary	CXmUQhBDZiU	Secrets of Tanglin Halt [with subs] - Walk Down The Tracks of Time	Supernatural Confessions	14:39	https://www.youtube.com/watch?v=CXmUQhBDZiU	2	9	True	https://i.ytimg.com/vi/CXmUQhBDZiU/maxresdefault.jpg	shortlist
21	primary	cbdCyuyZUnc	Singapore - Goodbye Tanglin Halt | Farewell rain walk 2023 (Part 2)	Singapore City Walks	28:10	https://www.youtube.com/watch?v=cbdCyuyZUnc	2	9	True	https://i.ytimg.com/vi/cbdCyuyZUnc/maxresdefault.jpg	shortlist
22	fallback	3oCtzRL-hF0	Tanglin Halt Singapore Walking Tour【2019】/十楼厝新加坡徒步旅行【2019】	Discovery Walking Tours TV	44:01	https://www.youtube.com/watch?v=3oCtzRL-hF0	2	15	True	https://i.ytimg.com/vi/3oCtzRL-hF0/maxresdefault.jpg	full
23	fallback	oodicYQSgUM	You Won’t Believe This Is Singapore! - Tanglin Halt ~ Singapore Walking Tours [4K]	Travel Tuber	9:39	https://www.youtube.com/watch?v=oodicYQSgUM	2	15	True	https://i.ytimg.com/vi/oodicYQSgUM/maxresdefault.jpg	full
24	fallback	dxFvOsUW5hs	Tanglin Halt, Soon-to-Disappear Neighbourhood || Walking Singapore	Walking Singapore	20:45	https://www.youtube.com/watch?v=dxFvOsUW5hs	2	13	True	https://i.ytimg.com/vi/dxFvOsUW5hs/maxresdefault.jpg	full
